V4	Fisher_dis2_T316A_r2_pr_counts	Fisher_dis2_T316A_r2gb_counts	Fisher_dis2_T316A_r2term_counts	Fisher_dis2_T316A_r2pr_map	Fisher_dis2_T316A_r2gb_map	Fisher_dis2_T316A_r2term_map	Fisher_dis2_T316A_r2pr_density	Fisher_dis2_T316A_r2pr_densityRPKM	Fisher_dis2_T316A_r2gb_density	Fisher_dis2_T316A_r2gb_densityRPKM	Fisher_dis2_T316A_r2pause_index_CI_low	Fisher_dis2_T316A_r2pause_index_CI_high	Fisher_dis2_T316A_r2pause_index_scaled	Fisher_dis2_T316A_r2pause_index_CI_low_scaled	Fisher_dis2_T316A_r2pause_index_CI_high_scaled	Fisher_dis2_T316A_r2_ExpPR	Fisher_dis2_T316A_r2_ExpGB	Fisher_dis2_T316A_r2Fexact_Pval
SPNCRNA.1084	0	8	0	100	858	300	0	0	0.00932400932400932	11.5736345371722	0.0116892782926356	0.673070909790981	0	0.100294007750813	5.77494840600662	0	100	1
SPNCRNA.1085	5	8	0	100	1226	300	0.05	62.0636152055857	0.0065252854812398	8.09965614428525	0.178328055323484	2.09816142532908	7.6625	2.18630195826591	25.7234590745345	0	105	1
SPNCRNA.1086	0	8	1	100	1930	300	0	0	0.00414507772020725	5.14517017248379	0.0116892782926356	0.673070909790981	0	0.225603071047866	12.9902685589659	0	100	1
SPNCRNA.1087	2	28	0	100	2749	300	0.02	24.8254460822343	0.0101855220080029	12.6430063714543	0.0117687294574852	0.307314068338505	1.96357142857143	0.323522372786269	8.44806373862551	1	101	1
SPNCRNA.1088	3	8	3	100	375	300	0.03	37.2381691233514	0.0213333333333333	26.4804758210499	0.0790706961718822	1.54345429461482	1.40625	0.296515110644558	5.78795360480559	2	101	1
SPNCRNA.1089	2	19	63	100	1269	300	0.02	24.8254460822343	0.0149724192277384	18.5848493129414	0.0169524113891639	0.46686156027615	1.33578947368421	0.21512610052849	5.92447319990435	1	101	1
SPNCRNA.1090	0	1	1	100	1203	300	0	0	0.000831255195344971	1.03181405163069	0.120791776113059	17.3080587281839	0	1.4531250666401	208.215946500053	0	100	1
SPNCRNA.1091	0	6	1	100	1972	300	0	0	0.00304259634888438	3.77669058046161	0.0157393406208896	0.93492067967121	0	0.310379797043942	18.4366358031163	0	100	1
SPNCRNA.1092	2	7	1	100	950	300	0.02	24.8254460822343	0.00736842105263158	9.14621697766526	0.0410868912536841	1.48812327873763	2.71428571428571	0.390325466909999	14.1371711480075	0	102	1
SPNCRNA.1093	0	0	0	100	498	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1096	0	119	11	100	1427	300	0	0	0.0833917309039944	103.511845963065	0.000765213614500503	0.0405539692697729	0	0.0109195982789222	0.578705141479659	7	93	1
SPNCRNA.1097	2	16	10	100	1560	300	0.02	24.8254460822343	0.0102564102564103	12.7309979908894	0.0198698862921535	0.564288735510909	1.95	0.309970226157595	8.80290427397019	1	101	1
SPNCRNA.1099	0	9	3	100	379	300	0	0	0.0237467018469657	29.476123316637	0.0103569347612096	0.590306163886248	0	0.0392527827449842	2.23726036112888	2	98	1
SPNCRNA.1100	1	4	1	100	1169	300	0.01	12.4127230411171	0.00342172797262618	4.2472961646252	0.0106420142837121	2.34682041637603	2.9225	0.124405146976595	27.4343306674357	0	101	1
SPNCRNA.1101	0	7	9	100	2067	300	0	0	0.00338655055636188	4.20363141208612	0.0134151780994594	0.782741335671289	0	0.277291731315827	16.1792634083255	0	100	1
SPNCRNA.1102	1	6	16	100	308	300	0.01	12.4127230411171	0.0194805194805195	24.1806293008776	0.00755953402951306	1.38050834161111	0.513333333333333	0.0232833648109002	4.25196569216221	1	100	1
SPNCRNA.1103	0	6	48	100	1644	300	0	0	0.00364963503649635	4.53019089091867	0.0157393406208896	0.93492067967121	0	0.258754759807425	15.3700959737947	0	100	1
SPNCRNA.1104	0	17	0	100	2821	300	0	0	0.00602623183268345	7.48019467206634	0.00541762860743838	0.297388981119444	0	0.152831303015837	8.3893431573795	0	100	1
SPNCRNA.1105	0	20	21	100	3552	300	0	0	0.00563063063063063	6.98914585648488	0.00459577388787386	0.250708753220746	0	0.16324188849728	8.90517491440091	0	100	1
SPNCRNA.1106	16	19	0	100	504	288	0.16	198.603568657874	0.0376984126984127	46.793995591513	0.412816618698313	1.71197804791556	4.24421052631579	2.0805957582395	8.62836936149441	4	112	0.661010750300398
SPNCRNA.1107	0	0	2	100	193	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1108	0	0	0	100	640	154	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1109	0	2	0	33	357	258	0	0	0.00560224089635854	6.95390646561185	0.0514242900386907	4.05388820080272	0	0.556317319509473	43.8556996268658	0	33	1
SPNCRNA.111	0	16	4	100	3485	300	0	0	0.00459110473457676	5.69881115230629	0.00576104614150375	0.317064970660191	0	0.200772458031406	11.0497142275076	0	100	1
SPNCRNA.1110	0	19	122	100	998	300	0	0	0.0190380761523046	23.6314366514254	0.00484054272324269	0.264551414760663	0	0.048308616377962	2.64022311931142	1	99	1
SPNCRNA.1111	1	6	12	100	671	300	0.01	12.4127230411171	0.00894187779433681	11.0993052528618	0.00755953402951306	1.38050834161111	1.11833333333333	0.0507244733380326	9.26321097221052	0	101	1
SPNCRNA.1112	6	34	27	100	572	300	0.06	74.4763382467029	0.0594405594405594	73.7819201744725	0.0666562781680915	0.439275859525599	1.00941176470588	0.381273911121483	2.51265791648642	5	101	1
SPNCRNA.1113	0	1	0	100	1419	300	0	0	0.000704721634954193	0.874751447576966	0.120791776113059	17.3080587281839	0	1.71403530304431	245.60135335293	0	100	1
SPNCRNA.1114	0	6	18	100	170	300	0	0	0.0352941176470588	43.8096107333546	0.0157393406208896	0.93492067967121	0	0.0267568790555123	1.58936515544106	3	97	1
