V4	dis2ts_DMSO_30Cr1_pr_counts	dis2ts_DMSO_30Cr1gb_counts	dis2ts_DMSO_30Cr1term_counts	dis2ts_DMSO_30Cr1pr_map	dis2ts_DMSO_30Cr1gb_map	dis2ts_DMSO_30Cr1term_map	dis2ts_DMSO_30Cr1pr_density	dis2ts_DMSO_30Cr1pr_densityRPKM	dis2ts_DMSO_30Cr1gb_density	dis2ts_DMSO_30Cr1gb_densityRPKM	dis2ts_DMSO_30Cr1pause_index_CI_low	dis2ts_DMSO_30Cr1pause_index_CI_high	dis2ts_DMSO_30Cr1pause_index_scaled	dis2ts_DMSO_30Cr1pause_index_CI_low_scaled	dis2ts_DMSO_30Cr1pause_index_CI_high_scaled	dis2ts_DMSO_30Cr1_ExpPR	dis2ts_DMSO_30Cr1_ExpGB	dis2ts_DMSO_30Cr1Fexact_Pval
SPAC1142.05	24	307	197	100	969	300	0.24	114.470556980343	0.316821465428277	151.111373378764	0.0503914833075193	0.120284004768515	0.757524429967427	0.488293473249862	1.16555200620691	29	95	1
SPAC1142.06	77	556	32	100	1508	300	0.77	367.259703645267	0.368700265251989	175.855519675814	0.108304879181971	0.176844239491725	2.08841726618705	1.63323757806412	2.66681113153521	47	130	0.0283040436922755
SPAC1142.07c	9	51	11	100	1016	300	0.09	42.9264588676286	0.0501968503937008	23.9419225967745	0.0810982488844935	0.37130780592501	1.79294117647059	0.823958208666454	3.7724873081981	5	104	1
SPAC1142.08	10	215	19	100	2324	300	0.1	47.6960654084763	0.092512908777969	44.1250174820241	0.0232718347763889	0.0900896480748169	1.08093023255814	0.540837440203277	2.09368342125874	9	101	1
SPAC1142.09	13	0	61	100	3	300	0.13	62.0048850310191	0	0	2.528032583868	140.569823864664	NA	0.0758409775160401	4.21709471593991	0	113	1
SPAC11D3.01c	50	15	47	100	130	300	0.5	238.480327042381	0.115384615384615	55.0339216251649	1.81870276587979	6.19523255767799	4.33333333333333	2.36431359564372	8.05380232498139	15	135	0.00793762990271429
SPAC11D3.02c	14	56	45	100	450	300	0.14	66.7744915718668	0.124444444444444	59.3551036194371	0.133065846679274	0.462114551247996	1.125	0.598796310056735	2.07951548061598	12	102	1
SPAC11D3.03c	3	16	2	100	1284	300	0.03	14.3088196225429	0.0124610591900312	5.9434349418662	0.0435109966500877	0.680481866290363	2.4075	0.558681196987126	8.73738716316826	1	102	1
SPAC11D3.04c	0	51	9	100	1836	300	0	0	0.0277777777777778	13.2489070579101	0.00178997256498559	0.0955981914009031	0	0.0328638962931354	1.75518279412058	2	98	1
SPAC11D3.05	7	289	73	100	1753	300	0.07	33.3872457859334	0.164860239589276	78.6318477070715	0.0105108534649118	0.052872414180939	0.424602076124568	0.184255261239903	0.926853420591861	15	92	1
